700.352 338.074 14.0858	1068652	700.352	3	74	194.855	1765	1813591	1813691	5		307	14.0858	307
700.52 339.082 12.5456	1068908	700.52	9	41	80.8605	158	1831253	1831911	43		333	15.1929	308
700.348 339.073 12.73	1068646	700.348	3	82	236.704	1826	1831322	1831424	8		307	14.0858	308
703.289 339.212 10.1091	1073134	703.289	3	130	733.255	411	1835818	1835840	44		300	12.2137	308
702.805 339.189 10.6268	1072395	702.805	3	137	862.983	199	1835072	1835094	9		259	12.5023	308
703.485 339.221 10.4744	1073433	703.485	2	149	1140.59	396	1836118	1836128	17		42	12.7365	308
700.48 340.08 11.0583	1068848	700.48	8	30	56.0194	793	1068678	1069050	39		317	13.5035	309
703.261 340.211 10.9023	1073091	703.261	2	149	1140.59	419	1073082	1073096	22		109	13.2088	309
700.489 341.08 10.627	1068861	700.489	8	23	42.0684	890	1086426	1086780	42		321	12.9203	310
703.315 341.213 10.0882	1073173	703.315	3	129	716.376	26	1090900	1090920	46		300	12.2077	310
707.827 329.426 10.6019	1080058	707.827	3	153	1251.63	191	1665363	1665392	22		268	12.7221	298
707.878 330.428 10.3212	1080136	707.878	3	127	683.765	1	1683187	1683236	1		299	10.3212	299
707.839 330.426 11.3272	1080076	707.839	3	153	1251.63	9	1683117	1683144	22		268	12.7221	299
707.793 330.424 11.2958	1080006	707.793	3	166	1692.52	668	1683055	1683072	15		268	12.7221	299
707.913 331.43 10.5485	1080190	707.913	4	113	493.123	17	1700964	1701006	57		262	12.6527	300
707.862 331.427 10.5144	1080111	707.862	3	150	1167.39	1158	1700887	1700913	30		262	12.6527	300
707.908 332.43 10.5984	1080182	707.908	3	125	652.625	1005	1718688	1718732	36		262	12.6527	301
710.333 333.544 10.4323	1083882	710.333	6	5	9.22819	548	1740113	1740194	82		347	12.2851	302
707.94 333.431 10.2653	1080231	707.94	4	108	438.606	620	1736490	1736516	55		245	12.2841	302
707.862 334.427 11.6645	1080112	707.862	3	150	1167.39	220	1754103	1754124	29		270	13.9477	303
708.276 335.447 14.9439	1080743	708.276	5	154	1281.03	3976	1772456	1772549	2		304	14.9439	304
707.845 335.427 10.0377	1080086	707.845	3	158	1405.7	27	1771822	1771837	26		335	11.8876	304
710.33 336.544 10.2449	1083878	710.33	6	5	9.22819	665	1793324	1793400	90		347	12.2851	305
708.432 336.454 13.0234	1080982	708.432	3	6	11.0383	33	1790366	1790495	1		305	13.0234	305
708.377 336.452 13.4086	1080898	708.377	7	101	372.048	3325	1790284	1790452	11		304	14.9439	305
707.888 336.429 11.349	1080152	707.888	4	147	1088.81	88	1789622	1789648	44		265	13.3549	305
710.327 339.544 10.2212	1083873	710.327	6	5	9.22819	423	1846538	1846607	90		347	12.2851	308
710.123 339.534 11.0225	1083562	710.123	3	118	554.276	599	1846224	1846285	57		349	12.7953	308
717.728 329.893 10.5257	1095166	717.728	5	159	1438.71	438	1680456	1680516	23		299	12.6811	298
717.694 330.891 12.6811	1095114	717.694	5	174	2037.74	409	1698142	1698200	14		305	14.4875	299
717.71 331.892 10.9693	1095139	717.71	5	174	2037.74	264	1715893	1715954	17		294	13.0793	300
717.723 332.892 10.8462	1095158	717.723	5	174	2037.74	228	1733608	1733715	18		294	13.0793	301
717.751 333.894 11.4925	1095201	717.751	5	171	1900.73	1176	1751381	1751495	23		310	13.8032	302
720.996 335.047 14.1621	1100152	720.996	3	52	110.85	1483	1774151	1774176	24		198	16.7584	303
720.809 335.038 10.3305	1099867	720.809	3	121	594.492	4	1773846	1773880	15		308	11.4065	303
720.946 335.045 10.9314	1100077	720.946	3	127	683.765	349	1774074	1774090	12		309	11.9295	303
717.86 334.899 10.8906	1095367	717.86	3	149	1140.59	13	1769341	1769380	16		244	12.925	303
